name,arrondissement,address,url,latitude,longitude,lambert93_x,lambert93_y
Marmara Restaurant,10,"Marmara Restaurant, 3 rue des Petites Ecuries - 75010 Paris 10",https://www.kebab-frites.com/kebab/marmara-restaurant-paris-10.html,48.872875,2.353961,652613.036,6863843.852
Frites d'Or,11,"Frites d'Or, 154 Boulevard de Ménilmontant - 75011 Paris 11",https://www.kebab-frites.com/kebab/frites-dor-paris-11.html,48.863235,2.386752,655009.881,6862752.775
Croc Time,19,"Croc Time, 73 Rue De Belleville - 75019 Paris 19",https://www.kebab-frites.com/kebab/croc-time-paris-19.html,48.873584,2.383326,654767.529,6863905.466
Derya,10,"Derya, 16 rue Faubourg Saint Denis - 75010 Paris 10",https://www.kebab-frites.com/kebab/derya-paris-10.html,48.87054,2.35319,652554.357,6863584.680
Caspienne Food,3,"Caspienne Food, 53  Rue Des Gravilliers - 75003 Paris 03",https://www.kebab-frites.com/kebab/caspienne-food-paris-03.html,48.864292,2.354963,652678.734,6862888.886
Le Fleurus,14,"Le Fleurus, 10 Boulevard Jourdan - 75014 Paris 14",https://www.kebab-frites.com/kebab/le-fleurus-paris-14.html,48.819772,2.343031,651762.212,6857945.937
Restaurant Ephese,18,"Restaurant Ephese, 58 Rue Doudeauville - 75018 Paris 18",https://www.kebab-frites.com/kebab/restaurant-ephese-paris-18.html,48.888519,2.353168,652569.120,6865583.843
L'Afghanistan,11,"L'Afghanistan, 48 rue Saint Maur - 75011 Paris 11",https://www.kebab-frites.com/kebab/lafghanistan-paris-11.html,48.862297,2.380114,654522.084,6862652.279
Royal Express,5,"Royal Express, 21 Rue Berthollet - 75005 Paris 05",https://www.kebab-frites.com/kebab/royal-express-paris-05.html,48.83866,2.345793,651982.406,6860044.381
Scarfood,9,"Scarfood, 28 rue pierre fontaine - 75009 Paris 09",https://www.kebab-frites.com/kebab/scarfood-paris-09.html,48.882316,2.3337,651135.784,6864905.977
Chez Karim - Resto grec plat algérien,18,"Chez Karim - Resto grec plat algérien, 94 Boulevard Barbès - 75018 Paris 18",https://www.kebab-frites.com/kebab/chez-karim-resto-grec-plat-algerien-paris-18.html,48.891142,2.349831,652326.832,6865877.516
Restaurant Evan,2,"Restaurant Evan, 183 Rue Saint-Denis - 75002 Paris 02",https://www.kebab-frites.com/kebab/restaurant-evan-paris-02.html,48.865861,2.350594,652359.658,6863065.974
Oasis Géode,19,"Oasis Géode, 23 avenue Corentin Cariou - 75019 Paris 19",https://www.kebab-frites.com/kebab/oasis-geode-paris-19.html,48.896903,2.384401,654866.593,6866497.796
Fata Morgana,8,"Fata Morgana, 23 Rue Rocher - 75008 Paris 08",https://www.kebab-frites.com/kebab/fata-morgana-paris-08.html,48.876519,2.32197,650270.031,6864268.712
Miami,20,"Miami, 14 rue de Ménilmontant - 75020 Paris 20",https://www.kebab-frites.com/kebab/miami-paris-20.html,48.867313,2.384438,654843.656,6863207.539
Sandwicherie Grec,15,"Sandwicherie Grec, 67 rue Brancion - 75015 Paris 15",https://www.kebab-frites.com/kebab/sandwicherie-grec-paris-15.html,48.832442,2.303361,648861.954,6859379.650
Chez Ebru,18,"Chez Ebru, 54 Rue Ordener - 75018 Paris 18",https://www.kebab-frites.com/kebab/chez-ebru-paris-18.html,48.89193,2.348142,652203.713,6865966.158
Grecs-Pizzas Charenton,12,"Grecs-Pizzas Charenton, 152 Rue de Charenton - 75012 Paris 12",https://www.kebab-frites.com/kebab/grecs-pizzas-charenton-paris-12.html,48.845148,2.381306,654594.593,6860744.773
Restaurant Anatolie,19,"Restaurant Anatolie, 52 Avenue de flandre - 75019 Paris 19",https://www.kebab-frites.com/kebab/restaurant-anatolie-paris-19.html,48.887499,2.37328,654042.961,6865458.531
Zarma,9,"Zarma, 64 Rue Jean-Baptiste Pigalle - 75009 Paris 09",https://www.kebab-frites.com/kebab/zarma-paris-09.html,48.881691,2.336922,651371.486,6864834.492
Resto Delice,13,"Resto Delice, Place de l'Abbé Georges Hénocque - 75013 Paris 13",https://www.kebab-frites.com/kebab/resto-delice-paris-13.html,48.823839,2.353345,652523.201,6858391.887
Fast food Istanbul,12,"Fast food Istanbul, 39 rue de lyon - 75012 Paris 12",https://www.kebab-frites.com/kebab/fast-food-istanbul-paris-12.html,48.848685,2.370892,653833.468,6861144.093
Mini Bouffe,12,"Mini Bouffe, 46 boulevard Diderot - 75012 Paris 12",https://www.kebab-frites.com/kebab/mini-bouffe-paris-12.html,48.84626,2.378612,654397.860,6860869.969
Chez Les Deux Amis,11,"Chez Les Deux Amis, 104 Rue De La Roquette - 75011 Paris 11",https://www.kebab-frites.com/kebab/chez-les-deux-amis-paris-11.html,48.856606,2.377593,654332.147,6862020.941
Euro Kebab,9,"Euro Kebab, 75 Rue de Rochechouart - 75009 Paris 09",https://www.kebab-frites.com/kebab/euro-kebab-paris-09.html,48.8815,2.346427,652068.367,6864807.442
Marmar,17,"Marmar, 99 rue des dames - 75017 Paris 17",https://www.kebab-frites.com/kebab/marmar-paris-17.html,48.883003,2.318337,650009.800,6864991.983
Achiti,9,"Achiti, 41 rue de Bellefond - 75009 Paris 09",https://www.kebab-frites.com/kebab/achiti-paris-09.html,48.878231,2.345217,651976.616,6864444.686
Food and Drinks,4,"Food and Drinks, Place Edmond Michelet - 75004 Paris 04",https://www.kebab-frites.com/kebab/food-and-drinks-paris-04.html,48.859926,2.350395,652339.630,6862406.170
Ikinci Bahar,10,"Ikinci Bahar, 36 Rue du Faubourg Saint-Denis - 75010 Paris 10",https://www.kebab-frites.com/kebab/ikinci-bahar-paris-10.html,48.87119200,2.35354200,652580.771,6863656.966
Kiziroglu Le Grand Pacha,14,"Kiziroglu Le Grand Pacha, 201 Bis Rue Raymond Losserand - 75014 Paris 14",https://www.kebab-frites.com/kebab/kiziroglu-le-grand-pacha-paris-14.html,48.828903,2.308109,649207.032,6858983.091
A.V.S ( A votre service ),19,"A.V.S ( A votre service ), 30 avenue Jaures - 75019 Paris 19",https://www.kebab-frites.com/kebab/avs-a-votre-service-paris-19.html,48.883328,2.372915,654012.513,6864994.952
Le Manolya,13,"Le Manolya, 136 Boulevard Vincent Auriol - 75013 Paris 13",https://www.kebab-frites.com/kebab/le-manolya-paris-13.html,48.832823,2.361025,653095.130,6859386.214
Le 54 Restaurant,20,"Le 54 Restaurant, 54 rue alexandre dumas - 75020 Paris 20",https://www.kebab-frites.com/kebab/le-54-restaurant-paris-20.html,48.855035,2.398434,655859.952,6861834.407
Royal Carthage,19,"Royal Carthage, 118 avenue de Flandre - 75019 Paris 19",https://www.kebab-frites.com/kebab/royal-carthage-paris-19.html,48.892171,2.379123,654475.501,6865974.649
Zamane,5,"Zamane, 118 rue Mouffetard - 75005 Paris 05",https://www.kebab-frites.com/kebab/zamane-paris-05.html,48.840315,2.349701,652270.755,6860226.030
Chez Mouss,20,"Chez Mouss, 118 avenue Gambetta - 75020 Paris 20",https://www.kebab-frites.com/kebab/chez-mouss-paris-20.html,48.872194,2.40473,656336.298,6863738.859
Art kebab,10,"Art kebab, 7 faubourg Saint Denis - 75010 Paris 10",https://www.kebab-frites.com/kebab/art-kebab-paris-10.html,48.870125,2.352725,652519.871,6863538.815
Constantinople,14,"Constantinople, 141 bis rue d'Alésia - 75014 Paris 14",https://www.kebab-frites.com/kebab/constantinople-paris-14.html,48.829798,2.320957,650151.060,6859074.417
Sanli Urfa,20,"Sanli Urfa, 7 boulevard Davout - 75020 Paris 20",https://www.kebab-frites.com/kebab/sanli-urfa-paris-20.html,48.84796,2.410966,656773.605,6861040.796
Chez Jonathan,9,"Chez Jonathan, 24 Rue du Faubourg Montmartre - 75009 Paris 09",https://www.kebab-frites.com/kebab/chez-jonathan-paris-09.html,48.873472,2.343009,651810.277,6863916.863
Le Bosphore,9,"Le Bosphore, 57 rue du faubourg montmartre - 75009 Paris 09",https://www.kebab-frites.com/kebab/le-bosphore-paris-09.html,48.87558,2.34048,651626.739,6864152.804
Al Boustan,16,"Al Boustan, 37 rue Saint Didier - 75016 Paris 16",https://www.kebab-frites.com/kebab/al-boustan-paris-16.html,48.866859,2.284015,647476.564,6863219.171
Anytime Food,18,"Anytime Food, 6 boulevard de Clichy - 75018 Paris 18",https://www.kebab-frites.com/kebab/anytime-food-paris-18.html,48.882343,2.339014,651525.511,6864905.704
Europe Pigalle,9,"Europe Pigalle, 1 rue Chaptal - 75009 Paris 09",https://www.kebab-frites.com/kebab/europe-pigalle-paris-09.html,48.880446,2.334713,651208.321,6864697.418
Tayba,20,"Tayba, 145 bis rue de Ménilmontant - 75020 Paris 20",https://www.kebab-frites.com/kebab/tayba-paris-20.html,48.870263,2.397004,655767.958,6863528.445
Chouchou,10,"Chouchou, 5 Boulevard de Strasbourg - 75010 Paris 10",https://www.kebab-frites.com/kebab/chouchou-paris-10.html,48.869793,2.354288,652634.218,6863500.960
