id_mutation,date_mutation,longitude,latitude,num_ordre,C_QUINSEE,C_QU,C_AR,L_QU
2018-1427845,2018-01-30,2.380516,48.875636,1,7511904,76,19,Combat
2018-1427848,2018-02-09,2.386209,48.889041,1,7511902,74,19,Pont-de-Flandre
2018-1427849,2018-02-05,2.391326,48.886402,1,7511903,75,19,Amérique
2018-1427850,2018-02-12,2.402325,48.85557,1,7512004,80,20,Charonne
2018-1427851,2018-02-08,2.402325,48.85557,1,7512004,80,20,Charonne
2018-1427852,2018-02-15,2.382604,48.872609,1,7512001,77,20,Belleville
2018-1427855,2018-01-24,2.399691,48.85765,1,7512004,80,20,Charonne
2018-1427856,2018-02-02,2.392187,48.887117,1,7511903,75,19,Amérique
2018-1427857,2018-02-02,2.389376,48.887342,1,7511903,75,19,Amérique
2018-1427858,2018-01-18,2.378936,48.875904,1,7511904,76,19,Combat
2018-1427860,2018-02-06,2.37411,48.884395,1,7511901,73,19,Villette
2018-1427861,2018-02-12,2.376599,48.876824,1,7511904,76,19,Combat
