id_mutation,date_mutation,longitude,latitude,num_ordre,C_QUINSEE,C_QU,C_AR,L_QU
2018-1428322,2018-03-23,2.39312,48.869343,1,7512003,79,20,Père-Lachaise
2018-1428323,2018-03-13,2.375554,48.878369,1,7511904,76,19,Combat
2018-1428324,2018-03-14,2.391254,48.864076,1,7512003,79,20,Père-Lachaise
2018-1428325,2018-03-09,2.400773,48.851109,1,7512004,80,20,Charonne
2018-1428327,2018-03-12,2.39777,48.866252,1,7512003,79,20,Père-Lachaise
2018-1428328,2018-02-28,2.393513,48.857697,1,7512003,79,20,Père-Lachaise
2018-1428329,2018-03-09,2.402092,48.867906,1,7512002,78,20,Saint-Fargeau
2018-1428330,2018-03-20,2.386337,48.864351,1,7512003,79,20,Père-Lachaise
2018-1428333,2018-03-20,2.374192,48.881814,1,7511904,76,19,Combat
2018-1428334,2018-03-26,2.395571,48.87277,1,7512001,77,20,Belleville
2018-1428339,2018-03-09,2.39554,48.868207,1,7512003,79,20,Père-Lachaise
2018-1428340,2018-03-19,2.401669,48.850224,1,7512004,80,20,Charonne
2018-1428341,2018-03-08,2.403431,48.856139,1,7512004,80,20,Charonne
2018-1428342,2018-03-14,2.406789,48.86809,1,7512002,78,20,Saint-Fargeau
2018-1428344,2018-03-07,2.381388,48.872742,1,7512001,77,20,Belleville
2018-1428345,2018-03-23,2.384765,48.877898,1,7511904,76,19,Combat
2018-1428349,2018-03-01,2.399533,48.858162,1,7512003,79,20,Père-Lachaise
2018-1428350,2018-03-14,2.392243,48.864684,1,7512003,79,20,Père-Lachaise
2018-1428351,2018-03-16,2.383012,48.868856,1,7512001,77,20,Belleville
2018-1428352,2018-03-05,2.392243,48.864684,1,7512003,79,20,Père-Lachaise
2018-1428353,2018-03-01,2.381144,48.873752,1,7511904,76,19,Combat
2018-1428355,2018-03-22,2.385227,48.886212,1,7511903,75,19,Amérique
2018-1428356,2018-03-23,2.399334,48.861569,1,7512003,79,20,Père-Lachaise
2018-1428357,2018-02-27,2.38625,48.868666,1,7512001,77,20,Belleville
2018-1428358,2018-03-05,2.399374,48.866669,1,7512003,79,20,Père-Lachaise
2018-1428359,2018-03-05,2.38937,48.888365,1,7511902,74,19,Pont-de-Flandre
2018-1428359,2018-03-05,2.38937,48.888365,2,7511902,74,19,Pont-de-Flandre
2018-1428360,2018-03-19,2.400526,48.872712,1,7512002,78,20,Saint-Fargeau
