,id_mutation,num_ordre,Distance_Complete,DPE_Complete,Date_dpe_Complete,DPE1,DPE2,DPE3,DPE4,DPE5,DPE6,DPE7,DPE1old,DPE2old,DPE3old,DPE4old,DPE5old,DPE6old,DPE7old
58,2018-1389234,2,20.64076064245926,4,20150331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2018-1389234,3,20.64076064245926,4,20150331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2018-1389235,1,38.115087083961264,5,20170919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2018-1389236,1,9.674849383352646,6,20161114,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,2018-1389237,1,9.492510505597775,6,20170126,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,2018-1389238,1,23.810015912103392,4,20140620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2018-1389239,1,9.674849383352646,6,20161114,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,2018-1389240,1,14.095681960013067,4,20151117,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,2018-1389241,1,10.91837121895205,4,20150209,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,2018-1389242,1,32.15645497799597,5,20160919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2018-1389244,1,19.967756703567787,4,20150506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2018-1389248,1,21.201791048167188,1,20170725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2018-1389249,1,21.180841275683495,7,20171113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2018-1389251,1,13.904677243716533,4,20170622,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,2018-1389252,1,6.11969558488117,4,20160301,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,2018-1389253,1,21.201791048167188,1,20170725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2018-1389254,1,25.60529414103922,4,20160928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2018-1389256,1,14.088056807915528,4,20151022,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,2018-1389258,1,10.943068043106063,1,20171205,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,2018-1389259,1,4.029427300133543,5,20170302,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,2018-1389260,1,15.712199831843977,3,20161123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2018-1389261,1,29.64515700556867,5,20161216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2018-1389261,2,29.64515700556867,5,20161216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2018-1389262,1,14.97457318536739,2,20170511,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,2018-1389263,1,14.397474321500773,4,20160408,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,2018-1389266,1,16.519197574418104,4,20150320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2018-1389267,1,12.531778406010519,4,20170920,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,2018-1389268,1,13.692882898488207,5,20180119,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,2018-1389269,1,7.211523286718359,5,20150928,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,2018-1389273,1,6.090932761658228,3,20170921,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,2018-1389275,1,11.398792048692888,5,20171207,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,2018-1389276,1,14.529054465169125,4,20171006,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,2018-1389278,1,11.540348921162249,5,20140106,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,2018-1389282,1,21.35574334814636,3,20141113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2018-1389283,1,16.012471278384602,1,20131017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2018-1389288,1,27.724581151643484,1,20141020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2018-1389289,1,14.2477622205264,5,20141104,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,2018-1389290,1,10.747399503481999,1,20151023,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,2018-1389291,1,30.789664133172483,4,20170610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2018-1389292,1,11.392257787331603,2,20130919,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98,2018-1389293,1,26.060369683614546,7,20141201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2018-1389294,1,36.318391901960936,4,20180105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2018-1389298,1,32.49751866449494,7,20141106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2018-1389299,1,23.464463569201303,4,20170728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2018-1389300,1,76.69649684910226,4,20180119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2018-1389301,1,11.665949830914393,4,20171219,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,2018-1389301,2,11.665949830914393,4,20171219,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,2018-1389302,1,17.630257237447918,4,20150622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2018-1389303,1,25.511174983049997,4,20160510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2018-1389304,1,6.808603371206964,5,20140721,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,2018-1389309,1,20.54487687281492,2,20150521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2018-1389310,1,7.430581382981138,5,20151005,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,2018-1389310,2,7.430581382981138,5,20151005,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,2018-1389314,1,11.870305231384043,5,20150507,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,2018-1389317,1,33.252714466847976,5,20170711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2018-1389318,1,14.252118749401072,7,20141029,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,2018-1389321,1,11.028187064255631,3,20171018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
